completion	prompt
Never thrown a party? What about that big bash we had with all the champagne and musicians and holy men and everything?	Goodbye, Lisa honey. It'll be okay. Just read the note.
Bart didn't get one vote?! Oh, this is the worst thing that ever happened to us. Alright, allright, spilled milk, spilled milk, spilled milk. What are you so mopey about?	Never thrown a party? What about that big bash we had with all the champagne and musicians and holy men and everything?
Oh.	Mr. Bergstrom left today.
And?	He's gone. Forever.
Hey, just because I don't care doesn't mean I don't understand.	I didn't think you'd understand.
Me?	I'm glad I'm not crying because I would hate for you to think that what I'm about to say is based on emotion. But you, sir, are a baboon!
I don't think you realize what you're saying.	Yes, you! Baboon, baboon, baboon, baboon!
Did you hear that, Marge? She called me a baboon! The stupidest, ugliest, smelliest ape of them all!	Whoa, somebody was bound to say it one day. I just can't believe it was her.
Go Away.	Homer, you are not allowed to have hurt feelings right now. There's a little girl upstairs who needs you. Her confidence in her father is shaken, and no little girl can be happy unless she has faith in her Daddy.
Lisa, don't hold anything back. You can tell me. Are you crying because you called Daddy a baboon?	Go Away.
Nuts.	No!
This isn't going well at all.	Nuts.
No, no, no. I just wish I knew what to say.	Look, if you just want me to forgive you --
Although, maybe this will help. Now you lost someone special and it hurts. I'm lucky because I never lost anyone special to me. Everyone special to me is under this roof.	No, no, no. I just wish I knew what to say.
Oh.	That was our wedding.
It's true. Now, you'll have lots of special people in your life, Lisa. There's probably some place where they all get together, and the food is real good, and guys like me are serving drinks. Oh well, maybe I can't explain all this, but I can fix your doll house for you. At least, I'm good at monkey work. You know... monkey. You know what I mean?	Children, it's time for you to go to bed.
I can hold these nails in place with my tail.	Yeah.
Gimme a banana.	You're so silly.
Come on, you're holding out on me.	I don't have any banana.
Think nothing of it.	I'm sorry I called you a baboon, Dad.
Hey, what's the matter, son?	Think nothing of it.
Hey son, would you have gotten any money for being class president?	Ah, Dad, if just me, Milhouse and Lewis had voted...
Would you have to do extra work?	No.
And is this Martin guy going to get to do anything neat, like throw out the first ball at the world series, huh?	Yeah.
So, let the baby have his bottle, huh? That's my motto.	Well, no.
Holy-moly... talk about parenting!	Hey! Thanks, monkey-man.
Uh oh.	Holy-moly... talk about parenting!
Sleep well, Maggie. Ah, three for three.	Uh oh.
Up... up... up... up... up... up. Don't say anything, Marge. Let's just go to bed. I'm on the biggest roll of my life.	Homie, did you straighten everything out...?
Mmm... hors doovers.	Up... up... up... up... up... up. Don't say anything, Marge. Let's just go to bed. I'm on the biggest roll of my life.
I promised I wouldn't eat? Never! You lie!	Homer! You promised!
Oh son, when you're older, you'll know better.	Yeah, you can't have any fun in bed.
Hmmm. Oh, baby! Mmmm. Yeah.	Oh son, when you're older, you'll know better.
How do I look?	Oh! They're here! How does everything look?
Do we have enough gag ice cubs?	Do we have enough glasses?
What are all our friends names again?	Homer! Homer! Put a record on!
Why not? I paid for it.	Hey, Homer! Care to try some of my Flanders Planters punch?
Hey, Flanders, next time why don't you put a little alcohol in it?	Why not? I paid for it.
Really? Well I do have a warm sense of well-being and I seem to be ssslurring my shpeech... you're right! Give me another.	Au contraire, Simpson! It has three shots of rum, a jigger of bourbon and just little dab-a-roo of creme de cassis for flavor.
No.	Now, Homer, go easy on the al-ky-hol. Remember last year at the Winfield's party when you threw up in the laundry hamper?
Oh, Dr. Hibbert. Enjoying the party?	Is that a new kind of Mace? It's really painful.
